#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
134154.22+005948.6 00299-51671-0446 205.475940 0.996860 1.715 18.597 1.117 0.787 1.884 0.116 1.279 0.106 0 18.577
134259.05+005157.6 00299-51671-0525 205.746060 0.866000 1.066 17.594 0.816 0.311 0.556 0.062 0.347 0.054 0 31.720
152330.82-002437.5 00313-51673-0230 230.878430 -0.410440 1.148 18.190 0.965 0.561 0.702 0.074 0.472 0.082 0 20.333
152330.82-002437.5 00313-51673-0230 230.878430 -0.410440 1.148 18.190 1.023 0.472 1.302 0.099 0.864 0.101 0 20.333
152119.68-004818.7 00313-51673-0300 230.332000 -0.805220 2.934 17.396 1.124 0.508 0.538 0.067 0.427 0.067 1 27.232
152119.68-004818.7 00313-51673-0300 230.332000 -0.805220 2.934 17.396 1.481 0.408 1.085 0.069 0.802 0.063 0 27.232
152102.00-000903.1 00313-51673-0319 230.258360 -0.150870 1.315 18.860 0.959 0.268 1.723 0.108 1.665 0.138 0 16.128
152510.61+002633.6 00313-51673-0496 231.294200 0.442690 0.802 16.874 0.567 0.061 1.899 0.067 1.602 0.068 0 30.816
152816.50+002158.0 00313-51673-0632 232.068770 0.366110 1.782 18.778 0.878 0.404 0.920 0.103 0.917 0.127 0 11.160
141218.65-003224.0 00302-51688-0023 213.077740 -0.540020 1.635 18.550 1.055 0.662 0.890 0.121 1.286 0.165 0 14.703
140946.44-005903.0 00302-51688-0049 212.443510 -0.984190 1.290 18.227 0.704 0.290 1.173 0.088 1.120 0.079 0 24.344
140946.44-005903.0 00302-51688-0049 212.443510 -0.984190 1.290 18.227 1.078 0.497 1.045 0.070 0.817 0.081 0 24.344
141015.36-001418.9 00302-51688-0107 212.564010 -0.238590 1.876 18.669 1.625 0.565 0.679 0.092 0.492 0.110 0 11.521
141018.46-004059.4 00302-51688-0114 212.576950 -0.683170 1.075 17.854 0.760 0.215 1.103 0.081 0.758 0.069 0 25.702
140750.82-001646.6 00302-51688-0164 211.961780 -0.279620 2.216 18.950 0.592 0.708 0.895 0.110 0.692 0.128 1 15.079
140750.82-001646.6 00302-51688-0164 211.961780 -0.279620 2.216 18.950 1.032 0.933 0.735 0.117 0.362 0.077 0 15.079
140750.82-001646.6 00302-51688-0164 211.961780 -0.279620 2.216 18.950 1.567 0.000 0.622 0.091 0.481 0.118 0 15.079
140750.82-001646.6 00302-51688-0164 211.961780 -0.279620 2.216 18.950 1.915 0.000 1.772 0.187 1.363 0.186 0 15.079
140756.30-003313.2 00302-51688-0165 211.984620 -0.553680 0.616 18.144 0.584 0.240 1.562 0.108 1.214 0.076 0 19.923
140642.64-004009.8 00302-51688-0185 211.677700 -0.669390 1.942 19.042 0.932 0.704 1.296 0.110 0.930 0.118 0 15.723
140642.64-004009.8 00302-51688-0185 211.677700 -0.669390 1.942 19.042 1.332 0.000 0.747 0.101 0.512 0.093 0 15.723
