#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
094158.75+352329.7 01594-52992-0552 145.494800 35.391600 2.058 17.261 1.891 0.333 1.093 0.082 0.866 0.067 0 31.552
094206.95+352307.4 01594-52992-0556 145.528960 35.385410 2.023 18.038 1.397 0.755 0.600 0.064 0.367 0.061 0 25.436
094206.95+352307.4 01594-52992-0556 145.528960 35.385410 2.023 18.038 1.740 0.000 0.526 0.084 0.235 0.074 0 25.436
094206.95+352307.4 01594-52992-0556 145.528960 35.385410 2.023 18.038 1.781 0.493 1.101 0.096 1.041 0.076 0 25.436
094451.66+352949.7 01594-52992-0596 146.215270 35.497160 1.491 18.175 0.886 0.000 0.514 0.071 0.455 0.083 0 25.653
091437.55+333113.7 01273-52993-0094 138.656480 33.520470 0.764 19.170 0.650 0.772 1.570 0.194 1.000 0.143 0 9.696
091409.24+341443.9 01273-52993-0170 138.538500 34.245550 1.879 17.506 0.775 0.129 1.114 0.058 1.044 0.069 0 29.306
091206.78+331109.3 01273-52993-0216 138.028260 33.185930 3.328 17.956 1.203 0.576 0.618 0.072 0.526 0.068 1 20.418
090902.21+345926.5 01273-52993-0348 137.259250 34.990710 0.575 17.839 0.461 0.082 1.276 0.072 1.092 0.068 0 27.008
091334.97+352540.8 01273-52993-0414 138.395740 35.428000 2.163 17.591 1.087 0.265 0.787 0.081 0.700 0.070 0 28.616
091334.97+352540.8 01273-52993-0414 138.395740 35.428000 2.163 17.591 1.674 0.397 1.253 0.079 0.965 0.067 0 28.616
091513.85+354123.2 01273-52993-0527 138.807710 35.689790 1.553 19.644 1.296 0.000 1.165 0.168 1.129 0.183 0 7.843
091529.67+353326.5 01273-52993-0536 138.873640 35.557370 2.132 20.054 1.100 0.000 1.162 0.168 1.208 0.166 0 7.077
091519.65+354111.8 01273-52993-0540 138.831880 35.686640 2.144 18.985 1.105 0.483 1.927 0.122 1.380 0.129 0 13.020
091519.65+354111.8 01273-52993-0540 138.831880 35.686640 2.144 18.985 1.294 0.883 2.542 0.157 2.429 0.169 0 13.020
091901.56+350309.6 01273-52993-0632 139.756550 35.052680 2.231 18.109 2.190 0.433 0.860 0.124 0.471 0.107 0 23.280
093947.59+091333.3 01304-52993-0059 144.948330 9.225930 1.570 18.295 1.311 0.000 0.493 0.063 0.427 0.057 0 19.227
093829.93+082008.3 01304-52993-0077 144.624730 8.335660 1.737 19.231 1.333 0.000 1.285 0.109 1.180 0.109 0 12.896
093849.66+090509.7 01304-52993-0092 144.706950 9.086040 2.247 17.329 0.470 0.157 0.714 0.089 0.553 0.091 1 30.856
093849.66+090509.7 01304-52993-0092 144.706950 9.086040 2.247 17.329 1.703 0.926 0.471 0.061 0.242 0.054 0 30.856
093849.66+090509.7 01304-52993-0092 144.706950 9.086040 2.247 17.329 1.907 0.397 1.071 0.081 0.778 0.070 0 30.856
093801.18+090004.3 01304-52993-0130 144.504940 9.001220 2.159 18.133 0.856 0.361 1.518 0.111 1.363 0.097 0 18.653
093751.04+092239.0 01304-52993-0134 144.462700 9.377510 0.852 18.657 0.735 0.265 1.825 0.108 1.157 0.089 0 18.666
093756.53+092216.0 01304-52993-0136 144.485570 9.371130 1.746 17.639 1.197 0.858 0.603 0.063 0.432 0.066 0 31.125
093300.54+092622.5 01304-52993-0260 143.252270 9.439580 1.509 19.163 1.070 0.000 0.681 0.100 0.656 0.127 0 15.493
093210.15+085957.3 01304-52993-0288 143.042310 8.999260 1.906 19.732 1.107 0.333 2.602 0.289 0.940 0.286 0 6.156
093244.76+095805.2 01304-52993-0406 143.186520 9.968120 2.101 18.873 1.723 0.000 0.730 0.110 0.722 0.092 0 15.761
093622.47+100013.5 01304-52993-0474 144.093630 10.003760 1.729 19.288 1.667 0.000 1.059 0.148 1.260 0.184 0 12.778
093800.63+100954.5 01304-52993-0555 144.502620 10.165150 3.530 19.712 1.799 0.000 2.349 0.309 2.063 0.286 0 6.925
094129.70+093220.7 01304-52993-0602 145.373800 9.539110 2.153 19.533 1.516 0.000 2.643 0.259 1.822 0.259 0 8.561
094129.70+093220.7 01304-52993-0602 145.373800 9.539110 2.153 19.533 1.694 0.000 2.088 0.319 1.415 0.307 0 8.561
101041.95+363914.1 01426-52993-0003 152.674840 36.653920 0.904 17.849 0.477 0.179 1.077 0.109 0.818 0.117 0 22.193
100838.24+365655.0 01426-52993-0054 152.159350 36.948630 1.888 18.554 1.383 0.526 2.932 0.128 2.413 0.123 0 17.588
100602.24+373600.9 01426-52993-0238 151.509350 37.600260 1.975 18.293 1.085 0.454 1.710 0.100 1.589 0.121 0 20.714
100602.24+373600.9 01426-52993-0238 151.509350 37.600260 1.975 18.293 1.589 0.476 1.268 0.083 0.401 0.071 0 20.714
100613.02+372318.0 01426-52993-0240 151.554280 37.388330 1.993 19.016 1.555 0.000 1.901 0.279 1.300 0.265 0 9.413
100319.14+372129.2 01426-52993-0310 150.829770 37.358120 1.498 19.122 0.921 0.554 1.766 0.241 1.574 0.270 0 6.417
100202.13+374224.0 01426-52993-0313 150.508900 37.706690 1.796 18.052 1.510 0.000 1.111 0.094 0.793 0.091 0 16.329
100446.91+381555.4 01426-52993-0335 151.195470 38.265390 0.925 18.548 0.740 0.215 1.362 0.093 1.224 0.093 0 17.198
100245.76+381733.5 01426-52993-0339 150.690670 38.292660 1.710 18.942 1.192 0.000 0.928 0.124 0.791 0.122 0 11.184
100616.59+375051.0 01426-52993-0465 151.569140 37.847520 1.939 18.878 1.223 0.715 1.521 0.108 0.400 0.082 0 14.703
100616.59+375051.0 01426-52993-0465 151.569140 37.847520 1.939 18.878 1.605 0.000 0.616 0.098 0.467 0.099 0 14.703
100949.83+375054.0 01426-52993-0558 152.457660 37.848340 1.750 17.965 0.849 0.275 1.202 0.093 1.013 0.078 0 22.627
100949.83+375054.0 01426-52993-0558 152.457660 37.848340 1.750 17.965 1.060 0.190 1.918 0.082 2.006 0.077 0 22.627
101204.32+375930.8 01426-52993-0583 153.018000 37.991890 0.779 19.970 0.622 0.629 1.078 0.173 0.772 0.185 0 8.125
101100.92+374327.8 01426-52993-0589 152.753880 37.724390 1.379 18.705 0.903 0.372 1.990 0.161 2.182 0.196 0 12.694
102432.26+422709.8 01358-52994-0017 156.134410 42.452720 1.393 18.656 0.672 0.343 0.837 0.082 0.769 0.091 0 16.808
102525.65+425534.0 01358-52994-0075 156.356900 42.926130 1.784 19.413 1.431 0.000 1.385 0.157 0.657 0.138 0 10.045
102314.73+430632.2 01358-52994-0142 155.811390 43.108950 1.264 18.710 1.163 0.000 0.821 0.114 0.548 0.102 0 11.581
102217.28+431655.9 01358-52994-0177 155.572000 43.282220 1.725 19.580 1.120 0.000 1.896 0.211 1.862 0.215 0 10.730
101806.00+432037.2 01358-52994-0275 154.525020 43.343690 1.796 18.436 1.571 0.601 1.414 0.077 1.391 0.102 0 19.919
101851.76+442024.1 01358-52994-0363 154.715680 44.340040 1.503 19.164 1.360 0.000 0.986 0.146 0.828 0.148 0 11.101
102210.27+440649.8 01358-52994-0443 155.542790 44.113860 1.626 19.806 1.435 0.000 1.630 0.175 1.189 0.188 0 7.397
102112.84+443501.0 01358-52994-0452 155.303500 44.583620 1.758 19.320 1.446 0.000 1.832 0.165 1.382 0.123 0 10.406
102225.66+435745.1 01358-52994-0453 155.606950 43.962530 1.437 18.584 0.598 0.290 0.912 0.112 0.807 0.104 0 18.709
102039.51+432948.7 01358-52994-0478 155.164630 43.496870 1.772 19.082 1.155 0.000 1.356 0.202 1.132 0.192 0 8.536
102039.51+432948.7 01358-52994-0478 155.164630 43.496870 1.772 19.082 1.607 0.000 1.364 0.133 0.544 0.104 0 8.536
102204.94+433727.5 01358-52994-0515 155.520600 43.624310 2.086 19.417 1.052 0.000 1.154 0.174 0.416 0.115 0 10.233
102216.24+434332.6 01358-52994-0517 155.567700 43.725730 1.994 19.485 0.749 0.805 0.912 0.131 0.943 0.140 0 10.449
102302.49+440826.5 01358-52994-0525 155.760390 44.140720 1.955 19.291 1.242 0.000 1.459 0.181 0.995 0.159 0 10.592
102303.40+440250.6 01358-52994-0527 155.764190 44.047420 1.917 19.108 1.270 0.000 1.089 0.123 0.993 0.104 0 15.257
102544.46+433912.7 01358-52994-0588 156.435290 43.653540 1.768 19.188 1.052 0.000 1.912 0.163 1.330 0.152 0 11.163
102544.46+433912.7 01358-52994-0588 156.435290 43.653540 1.768 19.188 1.307 0.000 1.513 0.140 1.110 0.134 0 11.163
102531.07+432226.8 01358-52994-0600 156.379490 43.374120 1.575 18.384 1.146 0.350 1.723 0.089 1.814 0.083 0 19.590
000500.53+010220.8 01490-52994-0368 1.252250 1.039120 2.119 18.140 1.325 0.526 2.025 0.081 1.948 0.082 0 21.176
000613.99+002604.9 01490-52994-0469 1.558320 0.434720 2.517 20.163 1.328 0.000 3.468 0.248 2.315 0.219 0 6.087
001240.23+002433.6 01490-52994-0624 3.167660 0.409350 2.616 18.608 1.151 0.772 0.771 0.078 0.555 0.102 0 15.297
092915.49+351013.7 01274-52995-0015 142.314540 35.170500 2.862 18.863 1.377 0.000 1.083 0.118 1.432 0.134 0 12.314
092915.49+351013.7 01274-52995-0015 142.314540 35.170500 2.862 18.863 1.446 0.000 1.347 0.115 0.961 0.119 0 12.314
092519.92+350703.4 01274-52995-0081 141.333010 35.117620 1.838 19.858 0.380 0.000 2.221 0.310 1.895 0.375 1 6.619
092700.92+353712.7 01274-52995-0157 141.753850 35.620220 0.747 19.772 0.666 0.447 1.439 0.152 1.161 0.131 0 12.254
092101.83+353827.7 01274-52995-0273 140.257640 35.641040 2.712 18.499 1.720 0.905 0.732 0.098 0.830 0.083 0 18.215
091804.47+353751.2 01274-52995-0301 139.518650 35.630890 1.464 17.538 0.723 0.297 0.673 0.073 0.657 0.078 0 26.903
091804.47+353751.2 01274-52995-0301 139.518650 35.630890 1.464 17.538 1.122 0.565 0.709 0.076 0.570 0.076 0 26.903
091804.47+353751.2 01274-52995-0301 139.518650 35.630890 1.464 17.538 1.317 0.790 0.534 0.059 0.404 0.056 0 26.903
091816.88+360718.0 01274-52995-0345 139.570360 36.121680 1.943 18.099 0.724 0.325 0.540 0.067 0.484 0.076 0 25.350
091921.61+361502.7 01274-52995-0388 139.840070 36.250780 2.132 20.038 1.721 0.000 1.591 0.221 0.714 0.221 0 7.354
092433.48+365248.3 01274-52995-0402 141.139510 36.880100 0.905 16.801 0.745 0.268 0.488 0.067 0.263 0.058 0 32.050
092154.89+362509.0 01274-52995-0425 140.478710 36.419170 2.142 18.813 1.076 0.522 1.321 0.101 1.107 0.099 0 17.116
092154.89+362509.0 01274-52995-0425 140.478710 36.419170 2.142 18.813 1.513 0.000 2.360 0.122 1.711 0.114 0 17.116
092335.14+361447.5 01274-52995-0465 140.896440 36.246530 1.514 18.465 1.289 0.000 0.736 0.072 0.339 0.048 0 21.714
092411.36+361417.3 01274-52995-0485 141.047330 36.238140 2.203 18.516 0.707 0.654 0.992 0.152 0.793 0.113 1 15.661
092612.00+363531.3 01274-52995-0537 141.550030 36.592040 2.041 18.430 0.706 0.404 0.884 0.076 0.549 0.072 0 20.582
092817.06+354918.6 01274-52995-0560 142.071100 35.821840 1.777 17.955 0.820 0.612 0.591 0.083 0.461 0.063 0 24.727
093935.12+364000.9 01275-52996-0031 144.896350 36.666930 2.029 17.608 0.584 0.275 1.233 0.121 0.920 0.122 1 22.338
093808.10+365004.2 01275-52996-0080 144.533780 36.834510 1.107 18.664 0.631 0.647 1.662 0.186 1.287 0.174 0 13.642
093322.83+361237.3 01275-52996-0097 143.345120 36.210360 2.301 18.589 0.863 0.354 1.360 0.104 1.160 0.105 0 18.015
093322.83+361237.3 01275-52996-0097 143.345120 36.210360 2.301 18.589 1.442 0.000 0.596 0.086 0.486 0.071 0 18.015
093650.38+363328.4 01275-52996-0108 144.209950 36.557900 1.699 18.800 1.367 0.000 0.834 0.097 0.340 0.096 0 11.476
093633.98+364209.8 01275-52996-0152 144.141600 36.702750 1.628 18.795 0.915 0.940 0.537 0.077 0.291 0.086 0 16.741
093112.91+364749.2 01275-52996-0239 142.803800 36.797010 1.394 18.878 1.305 0.000 0.551 0.085 0.246 0.071 0 14.018
092831.86+371251.9 01275-52996-0352 142.132780 37.214430 1.305 19.597 0.598 0.862 1.587 0.188 2.120 0.217 0 7.170
093322.17+381549.0 01275-52996-0402 143.342380 38.263630 1.741 19.343 1.030 0.790 1.008 0.139 0.815 0.166 0 10.443
093322.17+381549.0 01275-52996-0402 143.342380 38.263630 1.741 19.343 1.291 0.000 0.988 0.095 1.117 0.118 0 10.443
093156.12+372757.8 01275-52996-0466 142.983870 37.466080 1.984 19.213 1.515 0.000 0.948 0.131 1.056 0.124 0 12.445
093213.01+370344.4 01275-52996-0470 143.054210 37.062350 2.847 19.130 1.858 0.687 1.407 0.196 0.907 0.196 0 10.867
093207.46+365745.5 01275-52996-0480 143.031100 36.962660 2.898 17.436 2.006 0.297 1.313 0.087 0.911 0.081 0 27.085
093628.59+371635.1 01275-52996-0549 144.119140 37.276430 1.584 19.845 0.914 0.962 1.294 0.214 1.698 0.205 0 8.127
093832.04+373207.2 01275-52996-0585 144.633510 37.535350 1.907 18.464 0.674 0.358 0.833 0.089 0.884 0.103 0 18.688
095314.15+092342.0 01306-52996-0094 148.308980 9.395010 1.914 19.317 1.563 0.000 1.572 0.175 0.843 0.176 0 8.163
095134.08+091221.7 01306-52996-0125 147.892010 9.206030 2.027 18.534 1.189 0.440 1.443 0.091 1.408 0.117 0 18.556
095218.34+092240.6 01306-52996-0139 148.076450 9.377950 3.160 19.938 1.796 0.000 1.641 0.271 1.033 0.325 0 6.432
095349.84+093443.5 01306-52996-0145 148.457670 9.578770 1.420 19.147 1.165 0.905 1.485 0.146 0.845 0.128 0 11.644
094926.25+093434.2 01306-52996-0223 147.359400 9.576180 1.648 17.808 0.975 0.547 0.527 0.073 0.237 0.064 0 26.655
094926.25+093434.2 01306-52996-0223 147.359400 9.576180 1.648 17.808 1.529 0.490 1.166 0.076 1.022 0.073 0 26.655
094746.30+095624.5 01306-52996-0278 146.942930 9.940160 1.289 18.746 0.618 0.000 0.589 0.058 0.320 0.042 0 17.693
094746.30+095624.5 01306-52996-0278 146.942930 9.940160 1.289 18.746 0.828 0.390 1.934 0.125 1.934 0.127 0 17.693
094834.22+104954.9 01306-52996-0323 147.142600 10.831930 1.631 19.122 0.559 0.565 1.833 0.222 1.497 0.179 0 9.359
094831.49+104322.0 01306-52996-0327 147.131240 10.722800 1.649 19.251 0.884 0.651 1.440 0.183 0.507 0.155 0 10.340
094729.14+103528.0 01306-52996-0347 146.871430 10.591130 1.646 18.641 1.344 0.765 1.549 0.092 1.388 0.092 0 17.652
095029.92+102806.6 01306-52996-0385 147.624680 10.468520 2.278 17.989 1.679 0.468 1.141 0.086 0.288 0.070 0 23.930
095029.92+102806.6 01306-52996-0385 147.624680 10.468520 2.278 17.989 2.053 0.576 0.985 0.121 0.338 0.104 0 23.930
094847.61+102901.7 01306-52996-0391 147.198410 10.483830 1.391 19.572 0.784 0.894 2.231 0.271 0.550 0.182 0 6.070
095121.10+105236.8 01306-52996-0402 147.837940 10.876920 1.852 17.813 0.972 0.190 1.127 0.074 0.989 0.067 0 24.082
095043.36+102830.8 01306-52996-0428 147.680710 10.475220 1.637 19.187 1.396 0.000 1.632 0.165 1.399 0.155 0 10.839
095159.82+101503.1 01306-52996-0471 147.999270 10.250870 1.715 19.536 1.195 0.000 1.675 0.244 1.793 0.251 0 7.419
095329.97+100400.6 01306-52996-0516 148.374900 10.066840 2.807 18.738 0.709 0.333 1.535 0.136 1.462 0.161 1 13.935
095329.97+100400.6 01306-52996-0516 148.374900 10.066840 2.807 18.738 1.325 0.923 1.404 0.104 0.354 0.096 0 13.935
095400.44+103439.8 01306-52996-0547 148.501880 10.577720 1.575 19.164 0.777 0.790 0.894 0.129 1.033 0.133 0 11.199
095553.64+110034.5 01306-52996-0603 148.973510 11.009600 1.474 18.134 0.571 0.411 0.685 0.094 0.434 0.074 0 20.718
095620.38+100510.0 01306-52996-0637 149.084950 10.086140 1.962 18.688 0.789 0.401 1.492 0.118 1.112 0.103 0 14.997
102513.41+380105.1 01427-52996-0030 156.305900 38.018090 2.099 18.914 0.799 0.662 0.817 0.106 0.735 0.105 0 12.934
102513.41+380105.1 01427-52996-0030 156.305900 38.018090 2.099 18.914 1.377 0.000 0.615 0.086 0.787 0.087 0 12.934
102321.08+380813.9 01427-52996-0110 155.837880 38.137220 1.488 18.999 1.016 0.898 1.108 0.151 0.882 0.131 0 15.378
101941.63+373429.3 01427-52996-0140 154.923500 37.574830 1.724 17.147 0.731 0.000 0.403 0.065 0.236 0.046 0 31.140
101941.63+373429.3 01427-52996-0140 154.923500 37.574830 1.724 17.147 1.318 0.150 1.928 0.063 1.735 0.063 0 31.140
101852.96+375643.0 01427-52996-0161 154.720690 37.945280 2.436 18.830 1.230 0.594 3.106 0.136 2.906 0.126 0 15.813
101852.96+375643.0 01427-52996-0161 154.720690 37.945280 2.436 18.830 2.157 0.704 2.068 0.216 1.067 0.247 0 15.813
101952.59+375011.0 01427-52996-0172 154.969130 37.836410 2.413 18.775 1.081 0.973 0.791 0.121 0.657 0.111 0 15.649
101952.59+375011.0 01427-52996-0172 154.969130 37.836410 2.413 18.775 1.672 0.944 1.916 0.154 1.183 0.126 0 15.649
101952.59+375011.0 01427-52996-0172 154.969130 37.836410 2.413 18.775 2.157 0.308 2.404 0.231 0.964 0.207 0 15.649
101601.09+365742.1 01427-52996-0254 154.004580 36.961710 1.563 18.880 1.366 0.000 0.827 0.130 0.624 0.104 0 11.816
101203.96+385202.3 01427-52996-0347 153.016510 38.867320 2.778 18.756 1.930 0.000 1.105 0.166 0.881 0.157 0 14.433
101553.26+384725.7 01427-52996-0471 153.971940 38.790480 1.463 18.375 1.128 0.694 0.946 0.088 0.582 0.079 0 25.059
101604.91+383332.3 01427-52996-0475 154.020480 38.558980 1.511 18.985 1.375 0.000 0.520 0.080 0.474 0.084 0 16.790
101604.91+383332.3 01427-52996-0475 154.020480 38.558980 1.511 18.985 1.396 0.000 1.069 0.102 0.594 0.088 0 16.790
101846.35+384052.3 01427-52996-0515 154.693150 38.681210 2.461 19.097 1.214 0.683 2.631 0.142 1.902 0.112 0 15.503
102007.56+391616.8 01427-52996-0564 155.031520 39.271350 1.319 18.629 1.157 0.000 0.689 0.096 0.506 0.083 0 19.468
105747.55+395146.1 01435-52996-0072 164.448170 39.862820 2.451 18.386 1.074 0.436 0.852 0.086 0.292 0.073 0 19.651
105747.55+395146.1 01435-52996-0072 164.448170 39.862820 2.451 18.386 1.231 0.626 0.852 0.070 0.936 0.085 0 19.651
105515.19+392504.7 01435-52996-0183 163.813300 39.417980 2.131 18.753 1.403 0.000 1.230 0.094 0.905 0.094 0 15.869
105323.00+392723.8 01435-52996-0226 163.345870 39.456630 1.302 18.577 0.984 0.612 0.510 0.070 0.364 0.069 0 19.942
105158.74+401736.7 01435-52996-0253 162.994770 40.293530 2.172 16.719 1.760 0.519 0.340 0.050 0.377 0.057 0 32.107
105158.74+401736.7 01435-52996-0253 162.994770 40.293530 2.172 16.719 2.055 0.293 0.935 0.070 0.793 0.079 0 32.107
105043.27+402242.4 01435-52996-0260 162.680330 40.378460 1.522 18.045 0.512 0.275 1.213 0.112 0.709 0.116 0 21.465
105043.27+402242.4 01435-52996-0260 162.680330 40.378460 1.522 18.045 1.337 0.390 3.934 0.116 3.743 0.108 0 21.465
104902.90+404526.5 01435-52996-0339 162.262080 40.757390 1.633 18.588 1.567 0.633 1.802 0.108 1.346 0.106 0 16.444
105239.74+404339.1 01435-52996-0379 163.165590 40.727550 2.305 18.768 1.213 0.633 2.100 0.128 1.517 0.097 0 14.982
105302.35+410530.9 01435-52996-0405 163.259830 41.091920 2.225 18.698 1.759 0.000 0.880 0.129 0.685 0.138 0 12.713
105558.69+415900.3 01435-52996-0426 163.994570 41.983430 1.993 18.685 1.355 0.644 2.586 0.116 2.382 0.121 0 16.673
105655.36+405747.5 01435-52996-0491 164.230680 40.963200 1.780 17.771 0.876 0.333 0.585 0.064 0.581 0.057 0 26.685
105655.36+405747.5 01435-52996-0491 164.230680 40.963200 1.780 17.771 1.326 0.443 1.490 0.075 1.155 0.072 0 26.685
105627.82+411329.3 01435-52996-0506 164.115940 41.224810 1.928 18.883 1.124 0.919 1.315 0.133 1.518 0.156 0 12.574
105926.69+410327.0 01435-52996-0565 164.861240 41.057520 1.842 17.967 1.380 0.000 0.460 0.059 0.341 0.055 0 25.031
105911.88+410151.2 01435-52996-0570 164.799500 41.030890 3.222 19.067 1.398 0.819 2.348 0.142 2.083 0.151 0 9.784
001443.69-011206.4 01491-52996-0128 3.682050 -1.201780 2.718 18.791 1.163 0.991 0.573 0.086 0.774 0.129 0 15.199
001016.49+001227.6 01491-52996-0395 2.568710 0.207690 2.276 18.418 1.021 0.318 1.538 0.091 1.181 0.104 0 18.694
102640.84+380437.3 01428-52998-0132 156.670180 38.077040 1.737 18.448 0.358 0.118 1.423 0.108 0.291 0.071 1 19.321
102616.33+382216.1 01428-52998-0142 156.568050 38.371140 1.750 18.804 1.176 0.651 1.888 0.136 1.994 0.137 0 16.845
102640.44+382125.6 01428-52998-0159 156.668530 38.357130 1.250 18.178 0.741 0.290 1.603 0.089 1.396 0.081 0 24.439
102105.58+394259.4 01428-52998-0337 155.273270 39.716510 1.660 18.588 1.173 0.622 0.985 0.090 0.623 0.106 0 17.227
102105.58+394259.4 01428-52998-0337 155.273270 39.716510 1.660 18.588 1.510 0.722 1.712 0.105 1.184 0.100 0 17.227
102844.44+395143.7 01428-52998-0567 157.185200 39.862140 1.253 18.812 1.033 0.447 0.939 0.111 0.810 0.132 0 14.581
095950.93+360923.5 01596-52998-0053 149.962230 36.156550 1.853 19.064 1.122 0.540 0.661 0.110 0.416 0.118 0 12.545
095735.37+353520.6 01596-52998-0122 149.397400 35.589080 3.276 18.108 1.535 0.000 0.471 0.076 0.269 0.058 0 19.689
095647.07+361127.0 01596-52998-0208 149.196170 36.190860 2.688 19.072 0.744 0.608 0.917 0.141 0.818 0.148 1 11.558
095647.07+361127.0 01596-52998-0208 149.196170 36.190860 2.688 19.072 2.047 0.000 2.624 0.329 1.616 0.320 0 11.558
095353.55+364105.8 01596-52998-0263 148.473130 36.684950 1.663 19.131 1.445 0.000 0.764 0.118 0.721 0.109 0 9.571
095439.77+362531.8 01596-52998-0272 148.665740 36.425510 1.679 19.118 1.648 0.000 0.846 0.126 0.389 0.124 0 11.479
095226.58+360605.7 01596-52998-0289 148.110760 36.101600 2.061 18.274 1.858 0.615 1.078 0.123 0.881 0.139 0 17.638
095454.99+373419.9 01596-52998-0330 148.729160 37.572220 1.884 18.396 1.549 0.000 1.118 0.107 0.424 0.092 0 17.263
095143.97+365012.0 01596-52998-0358 147.933230 36.836680 3.010 19.475 1.390 0.000 1.186 0.143 1.254 0.143 0 8.895
095823.07+371218.3 01596-52998-0498 149.596150 37.205090 2.267 17.425 1.564 0.526 0.652 0.060 0.189 0.056 0 28.808
095823.07+371218.3 01596-52998-0498 149.596150 37.205090 2.267 17.425 1.616 0.458 0.824 0.058 0.809 0.068 0 28.808
095923.25+371305.6 01596-52998-0502 149.846910 37.218240 1.706 17.516 1.585 0.440 0.905 0.068 0.785 0.068 0 28.780
100233.81+091913.0 01307-52999-0051 150.640880 9.320290 1.097 19.883 0.787 0.923 1.072 0.178 0.948 0.178 0 8.290
100400.48+094302.7 01307-52999-0069 151.002010 9.717440 1.601 20.001 1.107 0.672 2.017 0.269 1.458 0.350 0 5.945
100358.01+094531.1 01307-52999-0113 150.991710 9.758660 0.792 17.849 0.615 0.129 1.536 0.084 1.400 0.088 0 21.932
100032.49+095058.4 01307-52999-0177 150.135390 9.849570 1.958 19.589 1.859 0.597 2.084 0.282 1.396 0.297 0 8.191
095930.68+094435.3 01307-52999-0190 149.877870 9.743150 2.706 18.934 1.626 0.608 1.333 0.158 1.217 0.148 0 10.496
095908.76+100529.5 01307-52999-0191 149.786500 10.091550 1.501 17.531 0.996 0.272 0.547 0.061 0.378 0.057 0 28.651
095832.57+094017.2 01307-52999-0208 149.635730 9.671450 3.006 19.239 1.311 0.000 1.069 0.152 0.939 0.144 0 8.791
095813.19+094206.3 01307-52999-0223 149.554980 9.701770 2.121 19.050 1.190 0.000 1.062 0.158 1.126 0.168 0 13.826
095846.06+094527.2 01307-52999-0232 149.691960 9.757570 1.843 19.124 1.408 0.000 0.985 0.129 0.832 0.151 0 9.770
095649.92+091144.9 01307-52999-0289 149.208020 9.195820 1.623 20.219 0.368 0.225 3.187 0.522 1.698 0.324 1 4.677
100012.26+102151.8 01307-52999-0475 150.051100 10.364410 3.639 19.483 1.370 0.000 1.754 0.198 1.194 0.209 1 6.884
100152.16+102037.3 01307-52999-0497 150.467360 10.343700 2.135 18.162 1.107 0.393 0.864 0.081 0.972 0.081 0 20.067
100152.16+102037.3 01307-52999-0497 150.467360 10.343700 2.135 18.162 1.522 0.000 0.722 0.078 0.603 0.079 0 20.067
100339.43+101936.7 01307-52999-0552 150.914320 10.326880 1.845 18.452 0.816 0.333 1.586 0.107 1.614 0.112 0 17.286
100339.43+101936.7 01307-52999-0552 150.914320 10.326880 1.845 18.452 1.179 0.483 1.721 0.117 1.365 0.118 0 17.286
100417.15+112529.4 01307-52999-0604 151.071490 11.424860 1.735 18.462 1.689 0.565 1.660 0.133 1.255 0.129 0 16.930
100404.99+111110.6 01307-52999-0612 151.020810 11.186280 1.735 20.515 1.111 0.862 2.340 0.278 1.283 0.282 0 8.410
100545.69+103808.8 01307-52999-0633 151.440410 10.635790 2.321 19.037 1.339 0.000 1.953 0.177 1.547 0.162 0 11.525
094917.82+350938.2 01595-52999-0096 147.324260 35.160620 1.853 18.916 1.556 0.000 0.934 0.118 0.885 0.120 0 12.621
094821.60+350542.9 01595-52999-0137 147.090030 35.095260 1.682 18.910 1.391 0.901 1.534 0.097 1.411 0.103 0 14.677
094712.03+345119.9 01595-52999-0215 146.800130 34.855550 1.452 17.391 0.973 0.358 0.615 0.070 0.511 0.068 0 26.695
094712.03+345119.9 01595-52999-0215 146.800130 34.855550 1.452 17.391 1.395 0.322 0.981 0.070 0.649 0.058 0 26.695
094450.50+344726.3 01595-52999-0248 146.210430 34.790640 2.430 18.679 1.984 0.429 1.660 0.207 0.709 0.211 0 16.389
094932.24+365742.6 01595-52999-0404 147.384350 36.961850 1.107 18.360 0.529 0.415 1.467 0.133 0.812 0.117 0 17.638
094722.77+361454.5 01595-52999-0474 146.844880 36.248470 1.585 18.947 1.409 0.000 0.778 0.090 0.584 0.090 0 14.876
094806.53+362744.5 01595-52999-0496 147.027240 36.462370 1.227 18.286 0.682 0.497 0.460 0.067 0.437 0.080 0 21.343
095005.89+362455.2 01595-52999-0514 147.524580 36.415350 2.236 18.574 0.890 0.776 0.683 0.079 0.481 0.075 0 19.804
095005.89+362455.2 01595-52999-0514 147.524580 36.415350 2.236 18.574 0.894 0.493 0.480 0.074 0.312 0.082 0 19.804
095005.89+362455.2 01595-52999-0514 147.524580 36.415350 2.236 18.574 2.054 0.000 1.065 0.139 0.718 0.147 0 19.804
095037.74+361145.5 01595-52999-0516 147.657260 36.195980 1.875 18.500 1.655 0.805 1.089 0.132 1.183 0.148 0 20.520
095235.60+365950.1 01595-52999-0540 148.148380 36.997270 0.640 19.012 0.375 0.300 0.588 0.084 0.631 0.093 0 14.637
095323.65+362516.8 01595-52999-0575 148.348560 36.421360 1.654 18.788 1.110 0.873 0.895 0.131 0.847 0.121 0 16.577
